16 
Agriculture + Food + Natural Resources
Architecture + Construction
Arts + Audio/Video Technology + Communications
Business Management + Administration
Education + Training
Finance
Government + Public Administration
Health Science
Hospitality + Tourism
Human Services
Information Technology 
Law + Public Safety + Corrections + Security
Manufacturing
Marketing + Sales + Service 
Science + Technology + Engineering + Mathematics
Transportation + Distribution + Logistics
